"","f.avg","f.se","l","u","p_f.avg_vs_0","p.adj_I","f.ctrl","diff","p_f.avg_vs_CTRL","p.adj_II","Rep1_Add.mean","Rep1_Add.sd","Rep1_Max.mean","Rep1_Max.sd","Rep1_Min.mean","Rep1_Min.sd","Rep1_p.value_Add","Rep1_p.value_Max","Rep1_p.value_Min","Rep1_avg.f.DKO","Rep1_avg.f.SKO1","Rep1_avg.f.SKO2","Rep1_z_Add","Rep1_z_Max","Rep1_z_Min","Rep1_p.adj_Add","Rep1_p.adj_Max","Rep1_p.adj_Min","Rep2_Add.mean","Rep2_Add.sd","Rep2_Max.mean","Rep2_Max.sd","Rep2_Min.mean","Rep2_Min.sd","Rep2_p.value_Add","Rep2_p.value_Max","Rep2_p.value_Min","Rep2_avg.f.DKO","Rep2_avg.f.SKO1","Rep2_avg.f.SKO2","Rep2_z_Add","Rep2_z_Max","Rep2_z_Min","Rep2_p.adj_Add","Rep2_p.adj_Max","Rep2_p.adj_Min","gi.Weighted.Avg.Add","gi.Weighted.Avg.Max","gi.Weighted.Avg.Min","fisher.p.Add","fisher.p.Add.adj","fisher.p.Max","fisher.p.Max.adj","fisher.p.Min","fisher.p.Min.adj"
"APC-ARID1A",-0.0691745481380731,0.018839842185912,-0.106618161357634,-0.0323262985585605,0.001,0.00149728555917481,-0.0262866281975595,-0.0428879199405136,0.032,0.0575332464146023,-0.0231887996986426,0.125380359132014,-0.0730633311585842,0.123553378517397,-0.0258640380137426,0.12587611118785,0.990001238367861,0.999999999999144,0.00435506005837541,-0.0757385694736842,-0.00345564302510224,-0.0418951664466831,-1.90991618654028,-7.89018290567387,-2.01402347681287,1,1,0.0401028447042069,-0.0333276289279568,0.119175411613242,-0.0702397229581092,0.110662707169706,-0.0263235817793714,0.119088713947949,0.99993954962524,0.999999999999998,0.000929222389109152,-0.0632356758095238,0.00327310399850632,-0.0345204111919823,-1.91979960935037,-6.81684607004865,-1.88793886672012,1,1,0.00919514095491594,-0.0285152944465752,-0.0714965919975775,-0.0261065330021798,0.999949241734318,1,1,1,5.42985191972224e-05,0.000537312212354604
"APC-ARID5B",-0.00124130961600834,0.0137357586888991,-0.0291778384111561,0.0261391844286846,0.471,0.476143379663497,-0.0262866281975595,0.0250453185815511,0.156,0.210493150684932,-0.00634173240322496,0.0834212602572203,-0.01306273589911,0.0779174040239796,0.00878407742445644,0.0800794823675277,0.815876884946195,0.971536475954529,0.898930425941968,0.00206307392857143,-0.00345564302510224,0.0117020496193628,-1.86792262797707,-7.43853515948456,-1.92494091597693,1,1,1,-0.0151530402811371,0.0671039693297849,-0.0191050155245853,0.0660503424379411,-0.000847909064244118,0.0639575044650135,0.990816745869812,0.999018667669281,0.445170659453164,-0.00479988430769231,0.00327310399850632,0.00654780896937783,-1.87430860753483,-6.48176402399425,-1.82492343229469,1,1,1,-0.011691459090106,-0.0165785712407535,0.00290332098168831,0.980341999237399,1,0.999563016075972,1,0.76667884966064,1
"APC-ATM",-0.03904846343339,0.0102522812562175,-0.0588213881961897,-0.0215128094933935,0,0,-0.0262866281975595,-0.0127618352358306,0.434,0.499570951585977,0.020315297442086,0.0404010541257859,-0.0497807149519546,0.0383527168365842,0.0175314846083263,0.0398487603305718,6.58913013407402e-07,1,0.999997517049769,-0.0525645277857143,-0.00345564302510224,-0.0708287365218201,-1.80147643147884,-7.71492562548123,-1.90245076253687,8.0635850018588e-06,1,1,0.0346511789265592,0.0710872622422064,-0.0297065775318397,0.0686488918778605,0.0379242829250655,0.0665084654655348,8.93239883954191e-09,0.999999637611118,0.999999999846452,-0.0264334735333333,0.00327310399850632,-0.0643577564583989,-1.7496486292307,-6.55123529442993,-1.72901834868205,1.18443608612326e-07,1,1,0.0238152853682138,-0.0450055576241744,0.0229183742139312,1.98737164546309e-13,2.68903551212659e-12,0.999999999999934,1,0.999999999996917,1
"APC-BAP1",-0.070513321168147,0.0109115886365614,-0.0919696600657726,-0.0513868899674993,0,0,-0.0262866281975595,-0.0442266929705875,0.002,0.00708997429305913,-0.00401254305256899,0.094466322251354,-0.0612353678042444,0.0933230749704074,-0.00725886686901422,0.0940323862763383,0.744052413653257,1,0.112527365686839,-0.0644816916206897,-0.00345564302510224,-0.0566646463686217,-1.86211681336932,-7.80114923912614,-1.96618837036041,1,1,0.645936306929648,-0.0234830989230352,0.0761516117967272,-0.0801268630293765,0.0744024455214771,-0.019700130526992,0.072997920115965,0.999999137329412,1,1.56458142466054e-05,-0.0763438946333333,0.00327310399850632,-0.0561338997088045,-1.89515874726377,-6.88163578511672,-1.87155540698849,1,1,0.000265978842192292,-0.0158140484769636,-0.0727854318391482,-0.0150217932711952,0.964026705498766,1,1,1,2.50880612571927e-05,0.000270461538431199
"APC-BAX",-0.0081389618604729,0.00616503992098636,-0.019712184539531,0.00323140014893469,0.083,0.0977429547395389,-0.0262866281975595,0.0181476663370866,0.143,0.195631944444444,-0.0226965625278896,0.0425971876004067,-0.0293775452816357,0.0396440954429965,-0.00319818950625391,0.0387256487191887,0.999999999999866,1,0.120396255852708,-0.00987917226,-0.00345564302510224,0.0162730332929918,-1.90868921984664,-7.56134305589393,-1.95574810445768,1,1,0.684277461513648,-0.0283253331099803,0.0547329821256479,-0.0291152883831937,0.0501395069710761,-0.00560879756678667,0.0515051976296771,0.99999999999995,1,0.0511092831278958,-0.00639875284,0.00327310399850632,0.018653476271474,-1.90727886114751,-6.54736061932798,-1.83669974378187,1,1,0.29855026179555,-0.0248198582579116,-0.0292766605364002,-0.00406878901779418,1,1,1,1,0.0374786527374853,0.184746072601879
"APC-BRCA1",-0.0341084569709198,0.00964804433500574,-0.0522385839301376,-0.0160847441352653,0,0,-0.0262866281975595,-0.00782182877336031,0.526,0.587807131280389,0.00319789589278566,0.072756116080085,-0.0417216302735457,0.0693972097959731,0.00165273640966465,0.0715013753988019,0.261599288490248,1,0.633973471575348,-0.0432667897566667,-0.00345564302510224,-0.0430090426243501,-1.84414383416714,-7.6542617701376,-1.94327605806929,1,1,1,0.00852764523719658,0.0838689644412763,-0.0303190171037272,0.078928499429216,0.0138965365075904,0.0817897536393002,0.0503170303393094,0.999999999252885,0.997097493577051,-0.0249501258333333,0.00327310399850632,-0.0367508750690362,-1.81503584330111,-6.55524856672839,-1.78845226022945,0.288832823506166,1,1,0.00548650884459218,-0.0367500332038393,0.00695655945680618,0.0701629007931872,0.343306296869986,1,1,0.922064419272609,1
"APC-BRCA2",-0.0398182340814688,0.0081561682805148,-0.0557177557004263,-0.0247354669327132,0,0,-0.0262866281975595,-0.0135316058839093,0.28,0.347855855855856,0.0105721236510566,0.070118027115844,-0.0384978575965177,0.0686748319631554,0.00804433401424092,0.0695044398392299,0.0130451169155988,1,0.960522659068473,-0.0410256472333333,-0.00345564302510224,-0.0481421278592876,-1.82576258953891,-7.6299951831561,-1.92684284445154,0.0843796342930924,1,1,-0.00813567371579927,0.0550258107464896,-0.0441939965130977,0.0545407608418272,-0.00255249693603487,0.0550563964510937,0.978569733655837,1,0.249929510748542,-0.0386108197333333,0.00327310399850632,-0.0337482500160404,-1.85674413653812,-6.64617030507017,-1.82913982125754,1,1,1,-0.00100557273466994,-0.0419908455363116,0.00153308991358961,0.0684362079186454,0.336097821111569,1,1,0.582597765836117,1
"APC-CADM2",-0.000296147926656434,0.00597215445123825,-0.0116570367672183,0.0119686142017771,0.472,0.476143379663497,-0.0262866281975595,0.025990480270903,0.035,0.0615625,-0.0129727240059714,0.0407785752908253,-0.0181865659342881,0.0423172888292333,0.00530960072831668,0.0407948842529407,0.99997248714712,0.999999998929419,0.956956707965265,9.57588000000006e-05,-0.00345564302510224,0.0165241258310737,-1.88445125751949,-7.47710421496206,-1.93387402179646,1,1,1,-0.0195185668185829,0.0419513278610259,-0.0206307914109777,0.041621029421793,0.000424169512394769,0.0390193406278441,0.999999999235662,0.999999999998249,0.5576250332089,-0.00068805508,0.00327310399850632,0.0155574077400766,-1.88523552200315,-6.49176232322179,-1.82177687812803,1,1,1,-0.0161528722869932,-0.0194289518676617,0.00275825779696572,0.999999999621497,1,1,1,0.868773303437774,1
"APC-CASP8",-0.00666342037065421,0.00511895514485104,-0.0160971025134071,0.00316348991808688,0.084,0.0988361774744027,-0.0262866281975595,0.0196232078269052,0.092,0.136417204301075,-0.0166893116451198,0.0379963675609586,-0.0235259165809014,0.0340995964794176,0.00019551793578155,0.0360485655068948,0.999999998705209,1,0.531244608207593,-0.006641087,-0.00345564302510224,0.0135038676702221,-1.89371534710512,-7.51729557765152,-1.94702266164958,1,1,1,-0.0263578837572154,0.0466234059026175,-0.0273808019099636,0.041526062852446,-0.00566283760725186,0.0414931745288942,1,1,0.0207615209875224,-0.00668575576,0.00327310399850632,0.0163990239987091,-1.90235433472119,-6.53599465469312,-1.83683341470253,1,1,0.137648884147273,-0.0205480208592196,-0.0250784237675963,-0.00232433226813576,1,1,1,1,0.0607412184019919,0.291821940583483
"APC-CBFB",-0.0352261541582193,0.00738480539478965,-0.0502820983865329,-0.0219386117815948,0,0,-0.0262866281975595,-0.00893952596065988,0.525,0.587642045454545,0.0143999800665118,0.0590552772173271,-0.0387288963513162,0.049896945668885,0.012778144652828,0.0578598719987042,0.000738248971517714,1,0.998885045579331,-0.040350731765,-0.00345564302510224,-0.0512950688064096,-1.81622114771196,-7.63173430145044,-1.9146719090669,0.00559381792132851,1,1,0.0239850299002849,0.0457727212463319,-0.0341841609279681,0.039503429870613,0.028067614078253,0.0461102372800681,9.92121633717938e-10,1,0.999999999999974,-0.03010157675,0.00327310399850632,-0.0573597106487912,-1.77634600401855,-6.58057657515798,-1.75339934447812,1.46172587367776e-08,1,1,0.0203878177110865,-0.035935212513851,0.022128949719245,2.11983659069051e-11,2.53234533266271e-10,1,1,0.999999378207187,1
