"","Rep2_Add.mean","Rep2_Add.sd","Rep2_Max.mean","Rep2_Max.sd","Rep2_Min.mean","Rep2_Min.sd","Rep2_p.value_Add","Rep2_p.value_Max","Rep2_p.value_Min","Rep2_avg.f.DKO","Rep2_avg.f.SKO1","Rep2_avg.f.SKO2","Rep2_z_Add","Rep2_z_Max","Rep2_z_Min","Rep2_p.adj_Add","Rep2_p.adj_Max","Rep2_p.adj_Min"
"APC-ARID1A",-0.0333276289279568,0.119175411613242,-0.0702397229581092,0.110662707169706,-0.0263235817793714,0.119088713947949,0.99993954962524,0.999999999999998,0.000929222389109152,-0.0632356758095238,0.00327310399850632,-0.0345204111919823,-1.91979960935037,-6.81684607004865,-1.88793886672012,1,1,0.00919514095491594
"APC-ARID5B",-0.0151530402811371,0.0671039693297849,-0.0191050155245853,0.0660503424379411,-0.000847909064244118,0.0639575044650135,0.990816745869812,0.999018667669281,0.445170659453164,-0.00479988430769231,0.00327310399850632,0.00654780896937783,-1.87430860753483,-6.48176402399425,-1.82492343229469,1,1,1
"APC-ATM",0.0346511789265592,0.0710872622422064,-0.0297065775318397,0.0686488918778605,0.0379242829250655,0.0665084654655348,8.93239883954191e-09,0.999999637611118,0.999999999846452,-0.0264334735333333,0.00327310399850632,-0.0643577564583989,-1.7496486292307,-6.55123529442993,-1.72901834868205,1.18443608612326e-07,1,1
"APC-BAP1",-0.0234830989230352,0.0761516117967272,-0.0801268630293765,0.0744024455214771,-0.019700130526992,0.072997920115965,0.999999137329412,1,1.56458142466054e-05,-0.0763438946333333,0.00327310399850632,-0.0561338997088045,-1.89515874726377,-6.88163578511672,-1.87155540698849,1,1,0.000265978842192292
"APC-BAX",-0.0283253331099803,0.0547329821256479,-0.0291152883831937,0.0501395069710761,-0.00560879756678667,0.0515051976296771,0.99999999999995,1,0.0511092831278958,-0.00639875284,0.00327310399850632,0.018653476271474,-1.90727886114751,-6.54736061932798,-1.83669974378187,1,1,0.29855026179555
"APC-BRCA1",0.00852764523719658,0.0838689644412763,-0.0303190171037272,0.078928499429216,0.0138965365075904,0.0817897536393002,0.0503170303393094,0.999999999252885,0.997097493577051,-0.0249501258333333,0.00327310399850632,-0.0367508750690362,-1.81503584330111,-6.55524856672839,-1.78845226022945,0.288832823506166,1,1
"APC-BRCA2",-0.00813567371579927,0.0550258107464896,-0.0441939965130977,0.0545407608418272,-0.00255249693603487,0.0550563964510937,0.978569733655837,1,0.249929510748542,-0.0386108197333333,0.00327310399850632,-0.0337482500160404,-1.85674413653812,-6.64617030507017,-1.82913982125754,1,1,1
"APC-CADM2",-0.0195185668185829,0.0419513278610259,-0.0206307914109777,0.041621029421793,0.000424169512394769,0.0390193406278441,0.999999999235662,0.999999999998249,0.5576250332089,-0.00068805508,0.00327310399850632,0.0155574077400766,-1.88523552200315,-6.49176232322179,-1.82177687812803,1,1,1
"APC-CASP8",-0.0263578837572154,0.0466234059026175,-0.0273808019099636,0.041526062852446,-0.00566283760725186,0.0414931745288942,1,1,0.0207615209875224,-0.00668575576,0.00327310399850632,0.0163990239987091,-1.90235433472119,-6.53599465469312,-1.83683341470253,1,1,0.137648884147273
"APC-CBFB",0.0239850299002849,0.0457727212463319,-0.0341841609279681,0.039503429870613,0.028067614078253,0.0461102372800681,9.92121633717938e-10,1,0.999999999999974,-0.03010157675,0.00327310399850632,-0.0573597106487912,-1.77634600401855,-6.58057657515798,-1.75339934447812,1.46172587367776e-08,1,1
