"","f.avg","f.se","l","u","p_f.avg_vs_0","p.adj_I","f.ctrl","diff","p_f.avg_vs_CTRL","p.adj_II","Rep1_Add.mean","Rep1_Add.sd","Rep1_Max.mean","Rep1_Max.sd","Rep1_Min.mean","Rep1_Min.sd","Rep1_p.value_Add","Rep1_p.value_Max","Rep1_p.value_Min","Rep1_avg.f.DKO","Rep1_avg.f.SKO1","Rep1_avg.f.SKO2","Rep1_z_Add","Rep1_z_Max","Rep1_z_Min","Rep1_p.adj_Add","Rep1_p.adj_Max","Rep1_p.adj_Min","Rep2_Add.mean","Rep2_Add.sd","Rep2_Max.mean","Rep2_Max.sd","Rep2_Min.mean","Rep2_Min.sd","Rep2_p.value_Add","Rep2_p.value_Max","Rep2_p.value_Min","Rep2_avg.f.DKO","Rep2_avg.f.SKO1","Rep2_avg.f.SKO2","Rep2_z_Add","Rep2_z_Max","Rep2_z_Min","Rep2_p.adj_Add","Rep2_p.adj_Max","Rep2_p.adj_Min","gi.Weighted.Avg.Add","gi.Weighted.Avg.Max","gi.Weighted.Avg.Min","fisher.p.Add","fisher.p.Add.adj","fisher.p.Max","fisher.p.Max.adj","fisher.p.Min","fisher.p.Min.adj"
"APC-ARID1A",-0.149708741137461,0.0211571249126249,-0.190678447356079,-0.105167466717928,0,0,-0.153079628839346,0.00337088770188473,0.871,0.894347728965004,0.0442584810263493,0.130217587697275,-0.107138510867196,0.125982927293535,-0.0301047516064546,0.10601828251555,0.0023410152534661,0.999999999999522,0.00762240036988306,-0.1815017435,-0.0744864127432898,-0.138092443789976,-0.211637749343862,-8.77881660544948,-1.56947964778216,0.00349964625264492,1,0.0502850890072883,0.102518289574428,0.132109438216321,-0.0232525563169468,0.129118422545748,0.0396481288913748,0.10839077422279,2.54487482828353e-06,0.888465159203315,0.985236219284314,-0.086122717,-0.0688273234638777,-0.121430008776742,-0.0815384262285079,-12.072651485856,-0.928399357331812,6.81717984303829e-06,1,1,0.0729682489592558,-0.0662264347714161,0.00399994945766973,1.18786017766571e-07,2.16360246646255e-07,0.993534911403584,1,0.0442446530606924,0.121215723054707
"APC-ARID5B",-0.177764013198655,0.0155883837249867,-0.209108618363389,-0.149746572612604,0,0,-0.153079628839346,-0.0246843843593093,0.189,0.251331726133076,-0.0518892850359677,0.107733106268374,-0.165210983970758,0.0973577829394439,-0.101251382883391,0.0796526615985156,0.00343536728204129,1,3.32620052248856e-11,-0.214573081818182,-0.0744864127432898,-0.0892292094035436,-0.673002784863547,-9.24952303921698,-1.73993116468507,0.0050558235471551,1,2.10025804419992e-09,-0.0036666445002047,0.0848793666141308,-0.101772260971548,0.0674469895476187,-0.0485122504517334,0.0671431611027016,0.752084012917194,1,2.80390794207133e-07,-0.146617866923077,-0.076086791390709,-0.0721195842125799,-0.519436954252085,-13.0098658223453,-1.13172177826068,0.791478889784285,1,3.34953327133926e-06,-0.0221357134225147,-0.122345143057444,-0.0704199475231524,0.0179786706901678,0.0222593065687792,1,1,3.75047323147204e-16,1.55410234529123e-14
"APC-ATM",-0.207126390865544,0.014842834198275,-0.23673394149454,-0.18009800144736,0,0,-0.153079628839346,-0.0540467620261982,0.006,0.0132596153846154,-0.00705159050717403,0.13393121934394,-0.185038809270577,0.0945336230057526,-0.0704006812365965,0.10620285484939,0.659329383614654,1,2.26497835347681e-08,-0.2483879,-0.0744864127432898,-0.173472028522979,-0.457849116961477,-9.41023747821803,-1.66601973980331,0.691896762275679,1,6.98456115514011e-07,0.0765912116602508,0.0723800986966393,-0.0771248950092294,0.0676215999849235,-0.000895628785065186,0.0513655060457933,4.35948658562438e-10,0.999999999925828,0.450019003671776,-0.154611735454545,-0.076086791390709,-0.158462772160544,-0.188459707985776,-12.7156738760282,-1.02190456937548,1.94635663721816e-09,1,0.820804950300929,0.0576843260155878,-0.113652055504877,-0.0140721111826508,6.60236171886056e-09,1.31848368060378e-08,1,1,1.97757075540375e-07,1.74817254777691e-06
"APC-BAP1",-0.153756231433873,0.00973292372978676,-0.172279067971482,-0.135235192631642,0,0,-0.153079628839346,-0.000676602594527703,0.949,0.956630847953216,0.0409247216329245,0.0932372544721042,-0.101086098308455,0.0894815045773448,-0.0299291511300495,0.0676269850233398,3.49093176514873e-05,1,2.03932438969236e-05,-0.171939971071429,-0.0744864127432898,-0.135457429083428,-0.22763479310216,-8.72975877513916,-1.56905894806616,6.24693052710826e-05,1,0.000281681681326257,0.0189398333455564,0.0706768402622703,-0.080350118967522,0.0577360668863305,-0.0290090556869215,0.0554801199463304,0.0524860599449038,1,3.71412414562287e-05,-0.128299008,-0.076086791390709,-0.0819159034465399,-0.426209572620915,-12.7541702782421,-1.08674197208272,0.0733558024907787,1,0.000257849665816541,0.0269626299634415,-0.0864453592953921,-0.0293791937587361,2.60362434456031e-05,4.03790161507247e-05,1,1,1.66642939017935e-08,1.75371854871256e-07
"APC-BAX",-0.168827593288444,0.00923207410615992,-0.188116205388598,-0.150003635379993,0,0,-0.153079628839346,-0.0157479644490981,0.264,0.335845018450184,-0.0673744863467355,0.13579505634043,-0.173998445732301,0.114543853202952,-0.0754559458144345,0.0755961044173735,5.10070217880795e-06,1,5.63269265885445e-16,-0.1820799052,-0.0744864127432898,-0.0402190061099748,-0.74730852014336,-9.32074981098314,-1.67813103024915,9.99044474017628e-06,1,1.066992923663e-13,-0.0478252344045356,0.125028364036756,-0.143419637831586,0.109403403513633,-0.0599808773729499,0.0672284896474423,8.20151284388267e-05,1,1.65276734402576e-15,-0.1555752808,-0.076086791390709,-0.0316632550047554,-0.701543593835363,-13.5069705789424,-1.1581716303113,0.000180336237527505,1,1.90395836070266e-13,-0.0567942474077694,-0.158007510314093,-0.0668148804229313,9.45216443797707e-09,1.87347833254972e-08,1,1,6.53055177755387e-29,2.16487791425911e-26
"APC-BRCA1",-0.142853753466348,0.00821829262149976,-0.158761970970303,-0.126238054177872,0,0,-0.153079628839346,0.010225875372998,0.431,0.506259795570698,0.0392924959511304,0.0885508362197366,-0.103263270763154,0.0804834112907408,-0.0162495398374398,0.0515276749257885,0.000457689251178845,1,0.0229731383228783,-0.158805306551724,-0.0744864127432898,-0.130167009068567,-0.235467027697907,-8.7474058465842,-1.53628563956767,0.000732081962681724,1,0.123329479417557,0.0342254649800915,0.0767577082991232,-0.07385580370581,0.062250533989067,-0.0169803593910216,0.0549636468269972,0.000506152617576086,1,0.00816823262598747,-0.125061628076923,-0.076086791390709,-0.0907219728161125,-0.36317279955131,-12.6766538714276,-1.05900044386195,0.000995783933094792,1,0.0298779634237382,0.0363993283915952,-0.08486333165417,-0.0165913940420196,3.77096969309312e-06,6.21928583711626e-06,1,1,0.0017978613636037,0.0071590515559715
"APC-BRCA2",-0.168898434069857,0.0089367047270853,-0.185678411968317,-0.15115278600834,0,0,-0.153079628839346,-0.0158188052305119,0.221,0.286427631578947,-0.0306424557617792,0.138796940173363,-0.153280564378768,0.115860373883247,-0.0614777720496777,0.0818266239253572,0.0188544590307067,1,9.8458925609007e-14,-0.184115880666667,-0.0744864127432898,-0.0789870121615977,-0.571049878995581,-9.15282102259232,-1.64464243241996,0.02556340764286,1,1.18687759415948e-11,-0.00570934196425458,0.110839092523303,-0.112954998792634,0.0995971056519573,-0.0459105811026547,0.0613328889067349,0.5997937563104,1,8.26014443808298e-12,-0.153156237931034,-0.076086791390709,-0.0709718130558446,-0.527860882001348,-13.1433434284217,-1.12572160318824,0.657294645345117,1,3.53321016932194e-10,-0.0154181189064873,-0.130091151809853,-0.0515104352042513,0.0619967512674182,0.0719227403154825,1,1,4.5925156664454e-23,5.53606888518782e-21
"APC-CADM2",-0.124741646295275,0.0111176331602479,-0.144183017029559,-0.0996832914721866,0,0,-0.153079628839346,0.028337982544071,0.073,0.112226309921962,0.041037506788568,0.121822437591103,-0.0787911787693127,0.106321714096228,0.00407171555788066,0.0814693248918694,0.00511392776084277,0.999999998026478,0.677762995624476,-0.11575697,-0.0744864127432898,-0.0823080640452783,-0.227093593556184,-8.5490473036527,-1.48760042783894,0.0073707263161712,1,1,-0.019998609615766,0.106344938707054,-0.11569579444427,0.0962781703001102,-0.0380291427714963,0.072623931017109,0.133573115289812,1,3.63788999615649e-06,-0.1337263276,-0.076086791390709,-0.0376409265935249,-0.58678872638588,-13.1760576749844,-1.10754480842133,0.170469635105188,1,3.19459744033345e-05,0.0063980907288751,-0.0990684850444633,-0.0193874862404516,0.0056620046177433,0.00733902064821859,1,1,3.43044301518837e-05,0.000192744382972025
"APC-CASP8",-0.133965928925998,0.0109111700649498,-0.153533766548862,-0.109584734408523,0,0,-0.153079628839346,0.0191136999133471,0.188,0.250485024154589,0.00576024339223659,0.124027433005424,-0.105601427039512,0.101818538413876,-0.0328673527682515,0.0869752504797799,0.629204846561787,1,6.44745958900586e-05,-0.1442290232,-0.0744864127432898,-0.0755028538489468,-0.396371534650903,-8.76635777240407,-1.57609822620498,0.663743537423174,1,0.000763115681266893,0.00702997280088117,0.095901724786895,-0.0860450875019946,0.0881472072147578,-0.0306277720971242,0.0803767974180352,0.481850386161007,1,0.00026551838638234,-0.1237028324,-0.076086791390709,-0.0546460138101721,-0.475324924501378,-12.8221456505367,-1.09047518355222,0.542388465237262,1,0.00146090199312441,0.00655487490329471,-0.0944230912284253,-0.0316593960189727,0.665006780915358,0.675708039458823,1,1,3.23262802741086e-07,2.69935387503933e-06
"APC-CBFB",-0.176524396341009,0.00781877783223427,-0.191897332315259,-0.161494970373594,0,0,-0.153079628839346,-0.0234447675016635,0.07,0.107854748603352,0.0202065999211259,0.110129608011792,-0.129212811110695,0.0878760323938384,-0.0366767599681794,0.0631203564205466,0.107332477640495,1,5.81214692853879e-07,-0.186096171,-0.0744864127432898,-0.131816358177836,-0.327050695841594,-8.95773984722361,-1.58522471925285,0.131536844132437,1,1.26342734872827e-05,0.0210484983438531,0.0716015644327131,-0.100587600017384,0.0625416143845595,-0.0453165171387627,0.0520801210238909,0.0209507181613511,1,4.74152481724508e-11,-0.1669526155,-0.076086791390709,-0.111914322453144,-0.417513599817466,-12.9957256617957,-1.12435152601497,0.0323030840487809,1,1.57181547691674e-09,0.0207983590974584,-0.110211937796751,-0.0418170941590335,0.0159598843430018,0.019889855863553,1,1,1.07836785630978e-15,4.08547364990507e-14
