"","Rep2_Add.mean","Rep2_Add.sd","Rep2_Max.mean","Rep2_Max.sd","Rep2_Min.mean","Rep2_Min.sd","Rep2_p.value_Add","Rep2_p.value_Max","Rep2_p.value_Min","Rep2_avg.f.DKO","Rep2_avg.f.SKO1","Rep2_avg.f.SKO2","Rep2_z_Add","Rep2_z_Max","Rep2_z_Min","Rep2_p.adj_Add","Rep2_p.adj_Max","Rep2_p.adj_Min"
"APC-ARID1A",0.102518289574428,0.132109438216321,-0.0232525563169468,0.129118422545748,0.0396481288913748,0.10839077422279,2.54487482828353e-06,0.888465159203315,0.985236219284314,-0.086122717,-0.0688273234638777,-0.121430008776742,-0.0815384262285079,-12.072651485856,-0.928399357331812,6.81717984303829e-06,1,1
"APC-ARID5B",-0.0036666445002047,0.0848793666141308,-0.101772260971548,0.0674469895476187,-0.0485122504517334,0.0671431611027016,0.752084012917194,1,2.80390794207133e-07,-0.146617866923077,-0.076086791390709,-0.0721195842125799,-0.519436954252085,-13.0098658223453,-1.13172177826068,0.791478889784285,1,3.34953327133926e-06
"APC-ATM",0.0765912116602508,0.0723800986966393,-0.0771248950092294,0.0676215999849235,-0.000895628785065186,0.0513655060457933,4.35948658562438e-10,0.999999999925828,0.450019003671776,-0.154611735454545,-0.076086791390709,-0.158462772160544,-0.188459707985776,-12.7156738760282,-1.02190456937548,1.94635663721816e-09,1,0.820804950300929
"APC-BAP1",0.0189398333455564,0.0706768402622703,-0.080350118967522,0.0577360668863305,-0.0290090556869215,0.0554801199463304,0.0524860599449038,1,3.71412414562287e-05,-0.128299008,-0.076086791390709,-0.0819159034465399,-0.426209572620915,-12.7541702782421,-1.08674197208272,0.0733558024907787,1,0.000257849665816541
"APC-BAX",-0.0478252344045356,0.125028364036756,-0.143419637831586,0.109403403513633,-0.0599808773729499,0.0672284896474423,8.20151284388267e-05,1,1.65276734402576e-15,-0.1555752808,-0.076086791390709,-0.0316632550047554,-0.701543593835363,-13.5069705789424,-1.1581716303113,0.000180336237527505,1,1.90395836070266e-13
"APC-BRCA1",0.0342254649800915,0.0767577082991232,-0.07385580370581,0.062250533989067,-0.0169803593910216,0.0549636468269972,0.000506152617576086,1,0.00816823262598747,-0.125061628076923,-0.076086791390709,-0.0907219728161125,-0.36317279955131,-12.6766538714276,-1.05900044386195,0.000995783933094792,1,0.0298779634237382
"APC-BRCA2",-0.00570934196425458,0.110839092523303,-0.112954998792634,0.0995971056519573,-0.0459105811026547,0.0613328889067349,0.5997937563104,1,8.26014443808298e-12,-0.153156237931034,-0.076086791390709,-0.0709718130558446,-0.527860882001348,-13.1433434284217,-1.12572160318824,0.657294645345117,1,3.53321016932194e-10
"APC-CADM2",-0.019998609615766,0.106344938707054,-0.11569579444427,0.0962781703001102,-0.0380291427714963,0.072623931017109,0.133573115289812,1,3.63788999615649e-06,-0.1337263276,-0.076086791390709,-0.0376409265935249,-0.58678872638588,-13.1760576749844,-1.10754480842133,0.170469635105188,1,3.19459744033345e-05
"APC-CASP8",0.00702997280088117,0.095901724786895,-0.0860450875019946,0.0881472072147578,-0.0306277720971242,0.0803767974180352,0.481850386161007,1,0.00026551838638234,-0.1237028324,-0.076086791390709,-0.0546460138101721,-0.475324924501378,-12.8221456505367,-1.09047518355222,0.542388465237262,1,0.00146090199312441
"APC-CBFB",0.0210484983438531,0.0716015644327131,-0.100587600017384,0.0625416143845595,-0.0453165171387627,0.0520801210238909,0.0209507181613511,1,4.74152481724508e-11,-0.1669526155,-0.076086791390709,-0.111914322453144,-0.417513599817466,-12.9957256617957,-1.12435152601497,0.0323030840487809,1,1.57181547691674e-09
"APC-CDH1",0.00999174276400165,0.108096256174274,-0.087405821036304,0.0959043490035724,-0.0220778781996944,0.0706839564457495,0.40372412758602,0.999999999999994,0.004389352621741,-0.119475442,-0.076086791390709,-0.0533803933732926,-0.463110812221727,-12.8383874204479,-1.07075674383062,0.464703292690159,1,0.0176372168982684
"APC-CDKN1B",-0.00571098425700813,0.086254154511385,-0.0965712634353867,0.0667163533602326,-0.0291657208216214,0.0548665269973866,0.533353227336916,1,1.55936420192708e-06,-0.120026,-0.076086791390709,-0.0382282243522828,-0.527867654690766,-12.9477865076513,-1.0871032855741,0.592316900710847,1,1.4769406655395e-05
