"","Rep2_Add.mean","Rep2_Add.sd","Rep2_Max.mean","Rep2_Max.sd","Rep2_Min.mean","Rep2_Min.sd","Rep2_p.value_Add","Rep2_p.value_Max","Rep2_p.value_Min","Rep2_avg.f.DKO","Rep2_avg.f.SKO1","Rep2_avg.f.SKO2","Rep2_z_Add","Rep2_z_Max","Rep2_z_Min","Rep2_p.adj_Add","Rep2_p.adj_Max","Rep2_p.adj_Min"
"APC-ARID1A",0.0252282249189016,0.0731134318809759,-0.0368805630845634,0.0657976783567509,-0.00115962261558262,0.062907009501104,8.14649699218264e-06,0.999999999996872,0.403192755044865,-0.0632684106190476,-0.0524813408458829,-0.0380907286509492,-0.300967951926629,-6.26973770486026,-2.49037261510988,1.17515123117207e-05,1,1
"APC-ARID5B",0.0324439046851777,0.0623477281955596,-0.0452758129051305,0.052084856652265,-0.0107177462558457,0.0511863749623408,4.74087486805257e-09,1,0.00820352152901821,-0.0884374638461538,-0.0524813408458829,-0.0693668865283467,-0.274103230889652,-6.32228382538927,-2.51893468390745,7.69449213590907e-09,1,0.113311141119564
"APC-ATM",0.0558403939628284,0.0712456458111992,-0.0158747527208182,0.0652399230179537,0.0135344398836466,0.0633563917653317,1.57403710459409e-17,0.997066467162611,0.993996108644022,-0.0581807068,-0.0524813408458829,-0.0615397599169455,-0.186995684816681,-6.13826170750772,-2.44646307388456,4.00609059633736e-17,1,1
"APC-BAP1",0.0522575493270715,0.0687299491623321,-0.0221337034278436,0.063628312243657,0.0117329696882484,0.0605025541425658,1.30991109019075e-28,0.999999962486143,0.99888934543514,-0.0626582830666667,-0.0524813408458829,-0.0624344915478553,-0.20033498544755,-6.17743666778475,-2.45184631829468,6.62955002134708e-28,1,1
"APC-BAX",0.0117357752090089,0.0639159093770502,-0.0491092224147354,0.0581436985388709,-0.00936515877625578,0.0538789099785581,0.00502242052184562,1,0.00716430943897961,-0.0702101564,-0.0524813408458829,-0.029464590763126,-0.351201735756087,-6.34627725053252,-2.51489281354662,0.00641592448166406,1,0.102149186194483
"APC-BRCA1",0.0541570322743486,0.0755082128002678,-0.0464509869915694,0.064772532153327,0.00693449093258465,0.0662914770787828,1.30878835269949e-26,1,0.949915456449794,-0.0936735283333333,-0.0524813408458829,-0.0953492197617991,-0.193263014247887,-6.32963927525775,-2.46618537536292,5.80419182501512e-26,1,1
"APC-BRCA2",0.0555808415607149,0.0628285362492467,-0.0441341425840838,0.054890773705581,0.0102670178114654,0.0495271666768553,9.96717525415158e-34,1,0.998476312334398,-0.0894479663333333,-0.0524813408458829,-0.0925474670481653,-0.187962025217462,-6.31513807659366,-2.45622694988457,7.34248577055833e-33,1,1
"APC-CADM2",0.0301227868606022,0.0512836248307821,-0.0353605458910706,0.0472483488727982,-0.00467164284832712,0.0423930214298725,1.51058748814133e-14,1,0.0694064365578448,-0.0701549756,-0.0524813408458829,-0.0477964216147194,-0.282744992285801,-6.2602238716376,-2.50086741171238,3.15936752251641e-14,1,0.724668778548836
"APC-CASP8",0.0167794858558998,0.0501446086898167,-0.0439784409016426,0.0440939348260675,-0.00397857309445759,0.0397014027131083,8.03854709141375e-06,1,0.0956794373986082,-0.064736499852,-0.0524813408458829,-0.0290346448620169,-0.332423480081101,-6.31416353509139,-2.49879634559767,1.16112346875976e-05,1,0.93978469622633
"APC-CBFB",-0.0148284777460891,0.0626867997500424,-0.0697498159496707,0.0572757732920332,0.0033009455535816,0.0466698639360135,0.998626372751513,1,0.79981263832807,-0.05162039265,-0.0524813408458829,0.015689425941972,-0.450103193180755,-6.4754673447951,-2.47704331955785,0.99999999999948,1,1
