"","f.avg","f.se","l","u","p_f.avg_vs_0","p.adj_I","f.ctrl","diff","p_f.avg_vs_CTRL","p.adj_II","Rep1_Add.mean","Rep1_Add.sd","Rep1_Max.mean","Rep1_Max.sd","Rep1_Min.mean","Rep1_Min.sd","Rep1_p.value_Add","Rep1_p.value_Max","Rep1_p.value_Min","Rep1_avg.f.DKO","Rep1_avg.f.SKO1","Rep1_avg.f.SKO2","Rep1_z_Add","Rep1_z_Max","Rep1_z_Min","Rep1_p.adj_Add","Rep1_p.adj_Max","Rep1_p.adj_Min","Rep2_Add.mean","Rep2_Add.sd","Rep2_Max.mean","Rep2_Max.sd","Rep2_Min.mean","Rep2_Min.sd","Rep2_p.value_Add","Rep2_p.value_Max","Rep2_p.value_Min","Rep2_avg.f.DKO","Rep2_avg.f.SKO1","Rep2_avg.f.SKO2","Rep2_z_Add","Rep2_z_Max","Rep2_z_Min","Rep2_p.adj_Add","Rep2_p.adj_Max","Rep2_p.adj_Min","gi.Weighted.Avg.Add","gi.Weighted.Avg.Max","gi.Weighted.Avg.Min","fisher.p.Add","fisher.p.Add.adj","fisher.p.Max","fisher.p.Max.adj","fisher.p.Min","fisher.p.Min.adj"
"APC-ARID1A",-0.0736156923319329,0.0115426158013097,-0.0962828550113662,-0.0502288681484436,0,0,-0.0723979343480979,-0.00121775798383501,0.941,0.954146323529412,0.0130960636481181,0.104122604968374,-0.0555542567567508,0.0934432757280819,-0.0164018496477627,0.089021591972732,0.0404300153091355,0.999999999999976,0.00591993245033918,-0.0850521700526316,-0.0578679800782366,-0.0429734289221868,-0.305330399111574,-6.58510241727409,-2.47474441452859,0.0480808971299674,1,0.085324243795106,0.0252282249189016,0.0731134318809759,-0.0368805630845634,0.0657976783567509,-0.00115962261558262,0.062907009501104,8.14649699218264e-06,0.999999999996872,0.403192755044865,-0.0632684106190476,-0.0524813408458829,-0.0380907286509492,-0.300967951926629,-6.26973770486026,-2.49037261510988,1.17515123117207e-05,1,1,0.0212217381601865,-0.0430703485559717,-0.00623597777093146,5.24546980849186e-06,6.69441093942272e-06,1,1,0.0167982711882489,0.147513295335219
"APC-ARID5B",-0.0934145953136571,0.0122947392286851,-0.116749090148118,-0.067814076458441,0,0,-0.0723979343480979,-0.0210166609655591,0.203,0.2859417773238,0.0228924946005798,0.0876308015638433,-0.0541778995602769,0.0813039257389784,-0.0209658179820005,0.0800905552230765,0.00164117801604559,0.999999999997728,0.00168147650342771,-0.0980362121428571,-0.0578679800782366,-0.0646639027091893,-0.266314825928322,-6.57624128735626,-2.48818035715727,0.00209451592808128,1,0.0289563356304564,0.0324439046851777,0.0623477281955596,-0.0452758129051305,0.052084856652265,-0.0107177462558457,0.0511863749623408,4.74087486805257e-09,1,0.00820352152901821,-0.0884374638461538,-0.0524813408458829,-0.0693668865283467,-0.274103230889652,-6.32228382538927,-2.51893468390745,7.69449213590907e-09,1,0.113311141119564,0.0292338629490783,-0.047866122039457,-0.0136897185867516,2.06804085245232e-10,2.92036439867069e-10,1,1,0.000168166793921135,0.00253396782658437
"APC-ATM",-0.0669605887833206,0.0129947352755932,-0.0923025182979126,-0.0431201237799646,0,0,-0.0723979343480979,0.00543734556477736,0.746,0.808117831893166,0.037269811104756,0.0777555115028011,-0.0353161594511394,0.0763301109780472,-0.00378163858696176,0.0747618449394058,1.03378466240735e-06,0.999998954128841,0.295307319803996,-0.0763676091428571,-0.0578679800782366,-0.057528041415033,-0.209055274264099,-6.45480745461896,-2.43759156434276,1.51804923848522e-06,1,1,0.0558403939628284,0.0712456458111992,-0.0158747527208182,0.0652399230179537,0.0135344398836466,0.0633563917653317,1.57403710459409e-17,0.997066467162611,0.993996108644022,-0.0581807068,-0.0524813408458829,-0.0615397599169455,-0.186995684816681,-6.13826170750772,-2.44646307388456,4.00609059633736e-17,1,1,0.0473649061693995,-0.0240817614763086,0.00629663380421443,8.70114178088561e-22,1.63655517751125e-21,0.99999568991475,1,0.653337165630878,1
"APC-BAP1",-0.0762291805858256,0.00979929424345851,-0.0962179672482746,-0.0562521832836316,0,0,-0.0723979343480979,-0.00383124623772764,0.782,0.838552099533437,0.0213924462490084,0.0930549426102118,-0.0511131055788822,0.0888365946353515,-0.0177624878272818,0.0869163807733602,0.000167343459539968,1,0.000643410750967287,-0.0902680396551724,-0.0578679800782366,-0.0537410463273202,-0.272288965543366,-6.55650982686759,-2.47875001999724,0.000221897427349998,1,0.0137606879964939,0.0522575493270715,0.0687299491623321,-0.0221337034278436,0.063628312243657,0.0117329696882484,0.0605025541425658,1.30991109019075e-28,0.999999962486143,0.99888934543514,-0.0626582830666667,-0.0524813408458829,-0.0624344915478553,-0.20033498544755,-6.17743666778475,-2.45184631829468,6.62955002134708e-28,1,1,0.0413630975183526,-0.0319594966182278,0.00210571090947966,1.61987899577415e-30,3.97035036672187e-30,0.999999999999999,1,0.00536640900949049,0.0560303806817668
"APC-BAX",-0.0745103170709434,0.00682296611271795,-0.0885965438848867,-0.0612588389562104,0,0,-0.0723979343480979,-0.00211238272284543,0.859,0.899438876233865,0.00412313678673838,0.0592293142316453,-0.0597768665911428,0.0499794893169086,-0.0149104718221188,0.0485729830874998,0.154110290026232,1,4.83690898120149e-06,-0.0788104752,-0.0578679800782366,-0.0250656319085018,-0.341066259071895,-6.61228801591862,-2.47035392243145,0.17555862935978,1,0.000183249751687805,0.0117357752090089,0.0639159093770502,-0.0491092224147354,0.0581436985388709,-0.00936515877625578,0.0538789099785581,0.00502242052184562,1,0.00716430943897961,-0.0702101564,-0.0524813408458829,-0.029464590763126,-0.351201735756087,-6.34627725053252,-2.51489281354662,0.00641592448166406,1,0.102149186194483,0.0076401572826693,-0.0552439747574893,-0.0124242357737818,0.00631893642010843,0.00748116936880695,1,1,6.29920064254638e-07,1.51868000945755e-05
"APC-BRCA1",-0.0935248925936834,0.00752539674520187,-0.108167283917041,-0.0783855996757131,0,0,-0.0723979343480979,-0.0211269582455854,0.07,0.116301204819277,0.0576856884084225,0.0840350280842442,-0.0428945475172959,0.068546117960214,0.00720398265905178,0.0709980136080195,9.08036579963457e-31,1,0.961152060627069,-0.0933762532666667,-0.0578679800782366,-0.0931939615968525,-0.127746360956101,-6.5035979004378,-2.40525081042153,5.32768365058206e-30,1,1,0.0541570322743486,0.0755082128002678,-0.0464509869915694,0.064772532153327,0.00693449093258465,0.0662914770787828,1.30878835269949e-26,1,0.949915456449794,-0.0936735283333333,-0.0524813408458829,-0.0953492197617991,-0.193263014247887,-6.32963927525775,-2.46618537536292,5.80419182501512e-26,1,1,0.0557333078725454,-0.0447733517258844,0.00706000896817999,1.54224798733879e-54,7.95727949887642e-54,1,1,0.996101911941443,1
"APC-BRCA2",-0.0884127776280691,0.00588680341882366,-0.0993523446978591,-0.0769573944005745,0,0,-0.0723979343480979,-0.0160148432799712,0.134,0.201951912568306,0.070802184136031,0.067586912277063,-0.0381567043876994,0.0532825134720987,0.0215812947570638,0.0524047293592063,5.02007563399029e-45,1,0.999999997618256,-0.0873775937666667,-0.0578679800782366,-0.100311797824461,-0.0755081936631719,-6.47309517657425,-2.36292520113664,8.64496141645601e-44,1,1,0.0555808415607149,0.0628285362492467,-0.0441341425840838,0.054890773705581,0.0102670178114654,0.0495271666768553,9.96717525415158e-34,1,0.998476312334398,-0.0894479663333333,-0.0524813408458829,-0.0925474670481653,-0.187962025217462,-6.31513807659366,-2.45622694988457,7.34248577055833e-33,1,1,0.0626368808647122,-0.041056573900724,0.0156050057885708,8.95601298018694e-76,1.14189165497383e-74,1,1,0.999998838594301,1
"APC-CADM2",-0.0727691726525455,0.00710899650823663,-0.0855715161633133,-0.0592033376936579,0,0,-0.0723979343480979,-0.000371238304447602,0.976,0.979551673944687,0.0250160717698124,0.0564441424903085,-0.0430646769592725,0.0560786269828024,-0.00730261519091517,0.0511515484604909,4.60589999823667e-08,1,0.0342696632647813,-0.07538336392,-0.0578679800782366,-0.0425314556115757,-0.257857400886638,-6.50469321137312,-2.44795702619156,7.23628364651875e-08,1,0.376299702652169,0.0301227868606022,0.0512836248307821,-0.0353605458910706,0.0472483488727982,-0.00467164284832712,0.0423930214298725,1.51058748814133e-14,1,0.0694064365578448,-0.0701549756,-0.0524813408458829,-0.0477964216147194,-0.282744992285801,-6.2602238716376,-2.50086741171238,3.15936752251641e-14,1,0.724668778548836,0.0278134978490128,-0.0385589933506096,-0.00574293325096318,3.45911986142449e-20,6.1567690419448e-20,1,1,0.0167479096571518,0.147513295335219
"APC-CASP8",-0.0702713944282041,0.00591584821953126,-0.0820665670117375,-0.0585750409451849,0,0,-0.0723979343480979,0.00212653991989387,0.833,0.880235249042146,0.00617857383590771,0.0579983642482981,-0.0567838929136631,0.0470926947377546,-0.0128438224504292,0.0509761129134162,0.0554006867726822,1,8.01754588720531e-05,-0.0758062892,-0.0578679800782366,-0.0241168829576711,-0.332880211009638,-6.59301894197129,-2.46426987881894,0.065067591373407,1,0.00241619678328051,0.0167794858558998,0.0501446086898167,-0.0439784409016426,0.0440939348260675,-0.00397857309445759,0.0397014027131083,8.03854709141375e-06,1,0.0956794373986082,-0.064736499852,-0.0524813408458829,-0.0290346448620169,-0.332423480081101,-6.31416353509139,-2.49879634559767,1.16112346875976e-05,1,0.93978469622633,0.0122448693433575,-0.0499605022597727,-0.00732568764793894,6.9581977332744e-06,8.85467389090389e-06,1,1,9.80222075516048e-05,0.00152914643780503
"APC-CBFB",-0.0547058522026783,0.0072110652530427,-0.0686782606538052,-0.0413572757969473,0,0,-0.0723979343480979,0.0176920821454196,0.19,0.271231884057971,-0.0219312130133635,0.0591097811150275,-0.0804344868768654,0.0592642710882221,0.000711958213501889,0.0454186630674853,0.999996520530318,1,0.567051666050289,-0.05779131565,-0.0578679800782366,0.0220078774416001,-0.44483112979887,-6.74528391088972,-2.42436278964804,0.999999999998569,1,1,-0.0148284777460891,0.0626867997500424,-0.0697498159496707,0.0572757732920332,0.0033009455535816,0.0466698639360135,0.998626372751513,1,0.79981263832807,-0.05162039265,-0.0524813408458829,0.015689425941972,-0.450103193180755,-6.4754673447951,-2.47704331955785,0.99999999999948,1,1,-0.0185882643784145,-0.0749098942256742,0.00197128197230605,0.999999051359567,0.999999999990085,1,1,0.812137409968392,1
"APC-CDH1",-0.0567253751169938,0.00807326383403681,-0.0723537012072785,-0.0402931840436628,0,0,-0.0723979343480979,0.0156725592311042,0.219,0.304743693239152,0.0368367326187133,0.0695336979594259,-0.0298916452029872,0.061130928357188,0.00958124582170057,0.0615882959733788,1.75645475879509e-11,0.999999999237802,0.98099318198521,-0.057147132,-0.0578679800782366,-0.0361158845404767,-0.210780066226425,-6.41988387110653,-2.39825234568044,3.32248075629427e-11,1,1,0.0237706295381801,0.0823032460071804,-0.0372828653689015,0.0730907473017839,0.0029977830570816,0.0727736500792766,4.19328760469453e-05,0.999999999972054,0.716113282972546,-0.05805571185,-0.0524813408458829,-0.0293450005422972,-0.306394730075915,-6.27225572692914,-2.47794924507291,5.8591141873814e-05,1,1,0.0313948280529229,-0.0329338486541665,0.00683380206588624,2.64006793422135e-14,4.0706163729971e-14,1,1,0.950560482967988,1
"APC-CDKN1B",-0.049596243790459,0.00704111579109061,-0.0625146227838116,-0.0355675142534192,0,0,-0.0723979343480979,0.0228016905576389,0.101,0.157912698412698,0.0405983161543175,0.0616513541646148,-0.0239241663269583,0.051316648288117,0.0155953199812758,0.051834783064045,2.31880471729495e-18,0.999999999767446,0.99997301745553,-0.0489271625,-0.0578679800782366,-0.0316574985760808,-0.195799065652803,-6.38146462518849,-2.38054741228585,6.59814389513543e-18,1,1,0.0364321708629623,0.0600087308731678,-0.0250329235837872,0.0517726271748733,0.0111997679467495,0.0485473823898699,2.61224656989904e-15,0.999999999891269,0.998792553565717,-0.0502653265,-0.0524813408458829,-0.0342161565170794,-0.259254503984094,-6.1955829737328,-2.45343965872392,5.68774868913979e-15,1,1,0.0384590035349197,-0.024473640856411,0.0132537488996068,4.55411542797634e-31,1.14154197684246e-30,1,1,0.99999923781909,1
