Target_genes	FOXO1|Average	SRX1012536|B-Lymphocytes	SRX1012537|B-Lymphocytes	SRX7587157|Chondrocytes	SRX7587158|Chondrocytes	SRX7587159|Chondrocytes	SRX1048948|Endometrial_stromal_cells	SRX3230384|Hep_G2	SRX359830|LoVo	SRX5771936|OCI-LY1	SRX1735651|Pre-leukemia_stem_cells	STRING
A1BG	14.6	0	0	0	0	0	0	146	0	0	0	0
A2M	54.4	0	0	0	0	0	369	175	0	0	0	0
AAAS	47.8	0	0	0	0	0	0	252	0	0	226	0
AACS	90.7	0	0	0	0	0	0	0	0	0	907	0
AADAT	23.2	0	0	0	0	0	0	0	0	0	232	0
AAGAB	10.2	0	0	0	0	0	0	0	0	0	102	0
AAK1	165.1	0	0	0	0	0	0	0	0	0	1651	0
AAMDC	80.1	0	0	0	0	0	242	471	0	0	88	0
AAMP	19.1	0	0	0	0	0	191	0	0	0	0	0
AANAT	20	0	0	0	0	0	0	0	0	0	200	0
AAR2	13.7	0	0	0	0	0	0	137	0	0	0	0
AARS1	157.6	0	0	0	0	0	0	0	0	0	1576	0
AARS2	91.4	0	0	0	0	0	0	675	0	0	239	0
AASDHPPT	8.4	0	0	0	0	0	84	0	0	0	0	0
AATF	11.5	0	0	0	0	0	0	0	0	0	115	0
AATK	8.3	0	0	0	0	0	0	0	0	0	83	0
ABCA2	83.4	0	0	0	0	0	0	0	0	0	834	0
ABCA3	70.8	0	0	0	0	0	0	0	0	0	708	0
ABCA5	53.1	0	0	0	0	0	0	0	0	0	531	0
ABCA6	33.5	0	0	0	0	0	335	0	0	0	0	0
ABCA8	27.5	0	0	0	0	0	275	0	0	0	0	0
ABCA9	26.2	0	0	0	0	0	262	0	0	0	0	0
ABCB10	47.3	0	0	0	0	0	0	0	0	0	473	0
ABCB6	55	0	0	0	0	0	0	0	0	0	550	0
ABCB7	24.3	0	0	0	0	0	0	243	0	0	0	0
ABCB8	24.3	0	0	0	0	0	0	0	0	0	243	0
ABCC1	17.1	0	0	0	0	0	0	0	0	0	171	0
ABCC10	14	0	0	0	0	0	0	0	0	0	140	0
ABCC11	46.1	0	0	0	0	0	0	0	0	0	461	0
ABCC2	14.4	0	0	0	0	0	0	144	0	0	0	0
ABCC3	8.2	0	0	0	0	0	0	0	0	0	82	0
ABCC4	20.8	0	0	0	0	0	0	0	0	0	208	0
ABCC9	19.8	0	0	0	0	0	198	0	0	0	0	0
ABCD1	97.6	0	0	0	0	0	0	0	0	0	976	0
ABCD3	22.1	0	0	0	0	0	98	0	0	0	123	0
ABCD4	188	0	0	0	0	0	153	1576	0	0	151	0
ABCE1	10	0	0	0	0	0	0	0	0	0	100	0
ABCF1	61.6	138	0	0	0	0	359	0	0	0	119	0
ABCF3	18.8	0	0	0	0	0	0	0	0	0	188	0
ABCG1	74.2	0	0	0	0	0	742	0	0	0	0	0
ABCG2	45.6	0	0	0	0	0	0	0	0	0	456	0
ABHD10	11.8	0	0	0	0	0	0	0	0	0	118	0
ABHD11	19.1	0	0	0	0	0	0	0	0	0	191	0
ABHD12	89.8	0	0	0	0	0	0	0	0	0	898	0
