Target_genes	YAP1|Average	SRX5718139|293	SRX5718140|293	SRX2858139|BEL-7402	SRX2858140|BEL-7402	SRX2858141|BEL-7402	SRX731134|CC-LP-1	SRX731139|CC-LP-1	SRX757325|H2052	SRX757326|H2052	SRX2558410|HBMEC	SRX2558412|HBMEC	SRX2844314|hESC_H1	SRX2844315|hESC_H1	SRX1011294|HuCCT1	SRX1011297|HuCCT1	SRX1038944|IMR-90	SRX1038945|IMR-90	SRX3401274|MCF-7	SRX5287688|MCF-7	SRX5287689|MCF-7	SRX5287705|MCF-7	SRX5287708|MCF-7	SRX4213898|MCF_10A	SRX4213899|MCF_10A	SRX883576|MDA-MB-231	SRX883577|MDA-MB-231	SRX1004562|MSTO-211H	SRX8400470|NCI-H1299	SRX8400471|NCI-H1299	SRX731141|NCI-H69	SRX731142|NCI-H69	SRX530920|OVCAR-5	SRX5887611|PC-9	SRX5887614|PC-9	SRX5887618|PC-9	SRX5887621|PC-9	SRX716555|SF268	SRX716556|SF268	SRX5287694|T-47D	SRX5287695|T-47D	STRING
AMOTL2	718.125000	835	1908	0	0	0	0	82	401	394	0	0	176	0	0	0	313	213	1749	2514	2943	1327	1157	647	2421	1090	588	114	0	0	0	0	134	867	762	538	659	1374	1352	2361	1806	0
MYL12B	554.550000	329	1311	0	0	0	0	0	269	88	0	0	176	0	0	0	0	0	1164	2256	2444	1250	1043	556	1829	1551	1040	0	0	0	0	0	164	1079	713	416	614	1123	1336	723	708	0
C18orf63	543.325000	0	1844	0	0	0	0	0	2621	2635	0	0	0	0	0	0	1803	1868	2057	402	349	0	0	0	0	1551	1575	0	0	0	0	0	0	671	410	295	383	0	0	1814	1455	0
FSCN1	522.425000	0	1498	0	0	0	0	0	2444	2143	0	0	0	0	0	0	926	1110	764	0	0	0	0	0	1680	1548	1196	0	0	0	0	0	162	1376	1151	590	749	1745	1443	146	226	0
CCN2	468.600000	254	1851	0	0	0	0	133	1955	1724	0	0	359	0	0	0	999	1022	941	286	317	0	0	0	2283	1018	972	0	0	0	0	0	0	562	420	220	285	1662	1258	223	0	0
LATS2	458.900000	420	2030	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	1112	1513	1625	364	418	403	2067	972	572	0	0	0	0	0	0	440	376	197	249	1604	1870	943	937	0
PTPN14	414.625000	361	2077	0	0	0	0	0	853	407	0	0	246	0	0	0	357	409	618	831	832	115	209	303	1556	1049	680	0	0	0	0	0	0	358	243	248	375	1325	1169	1077	887	0
ITGB2	410.450000	0	1584	0	0	0	0	0	1961	1536	0	0	0	0	0	0	787	901	0	0	0	0	0	0	1889	1051	756	0	0	0	0	0	0	892	790	461	466	1584	1578	182	0	0
CRY1	408.175000	0	1259	0	0	0	0	0	1544	1366	0	0	0	0	0	0	479	526	1851	93	139	0	0	0	1015	1369	1614	0	0	0	0	0	0	163	151	141	176	2049	1622	412	358	0
SH3BP4	405.800000	0	1419	0	0	0	0	0	2073	2116	0	0	0	0	0	0	1021	1103	616	0	0	0	0	0	882	608	435	0	0	0	0	0	0	1101	844	485	665	1407	1198	159	100	0
ANKRD1	396.825000	119	1629	0	0	0	0	0	2458	2340	0	0	0	0	0	0	932	1149	576	0	0	0	0	0	497	896	953	0	0	0	0	0	0	369	292	173	202	1596	1223	266	203	0
MTRNR2L8	395.150000	966	336	0	0	0	0	382	802	878	0	0	215	190	599	666	1034	1053	286	233	101	0	0	675	611	433	506	413	0	0	225	299	1333	210	228	366	207	641	708	476	734	0
MTRNR2L2	394.550000	1024	344	0	0	0	0	356	732	969	0	0	112	118	217	558	1200	1194	286	109	0	0	0	880	939	486	508	266	0	0	170	303	940	201	178	326	308	926	1149	367	616	0
ARHGEF17	383.650000	0	1478	0	0	0	0	0	810	283	0	0	0	0	0	0	296	476	0	0	0	0	0	222	1748	1468	781	0	0	0	0	0	0	1268	662	587	764	1064	1094	1226	1119	0
PKP4	380.325000	228	1258	0	0	0	0	0	328	109	0	0	111	0	0	0	0	0	1209	1142	1344	402	512	136	2184	975	589	0	0	0	0	0	148	290	211	128	220	1198	1229	703	559	0
EHBP1	376.550000	0	2307	0	0	0	0	0	2294	2221	0	0	0	0	0	0	542	924	1293	0	0	0	0	0	640	599	497	0	0	0	0	0	0	215	168	0	0	1554	963	421	424	0
